id,functional_area,user_goal,surface,api_or_command,ui_routes,storage_or_external,existing_test_evidence,planned_automation,priority,current_state
ENV-001,Preparação local,"Validar toolchain, ficheiros locais e serviços",CLI,scripts/np.ps1 doctor; init-local; prepare-local; up; start; health,-,.env local; Docker Compose,tests/local/test_local_clone_to_run_contract.py; scripts/tests/test-np-script.ps1,"Executar preflight, guardar versões e falhar prerequisites",P0,implemented-partial-runtime
BOOT-001,Bootstrap control plane,Criar catálogo base idempotentemente,CLI,scripts/postgres/bootstrap-control-plane.ps1,/admin,control.configuration_versions; control.areas; control.grid_cells; control.sensor_profiles; control.sensor_networks; control.sensor_nodes; control.scenario_definitions; control.dataset_artifacts; control.scenario_dataset_bindings,tests/NatureProtector.IntegrationTests/Bootstrap; tests/NatureProtector.Backoffice.Api.Tests/InfrastructureBootstrapperTests.cs,Executar duas vezes e comparar chaves/contagens lógicas,P0,unit-integration-covered
AUTH-001,Login e logout,Autenticar e terminar sessão,API/UI,POST /api/users-roles/login; POST /api/users-roles/logout; GET /api/users-roles/me,/login,user_base.users; token JWT,tests/NatureProtector.Backoffice.Api.Tests/JwtAuthenticationTests.cs; tests/NatureProtector.IntegrationTests/UserPlane; webUI/src/app/context/TokenContext.test.tsx; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py; webUI/e2e/live-role-journeys.spec.ts; scripts/acceptance/Invoke-NP-UiPerformanceCoverage.ps1,Backend P0 login/logout plus Phase 4 real UI login/logout by role,P0,phase4-live-ui-harness-implemented-unexecuted
AUTH-002,Capabilities,Obter autoridade efetiva do backend,API/UI,GET /api/users-roles/me/capabilities,shell; todas as rotas protegidas,role catalog em código,tests/NatureProtector.Backoffice.Api.Tests/OperationAuthorizationTests.cs; AuthorizationMatrixTests.cs; webUI/src/app/capabilities.test.ts; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py; webUI/e2e/live-role-journeys.spec.ts; scripts/acceptance/Invoke-NP-UiPerformanceCoverage.ps1,Backend capability matrix plus live UI allowed/denied route proof,P0,phase4-live-ui-harness-implemented-unexecuted
RBAC-001,Gestão de utilizadores e roles,CRUD e associações,API/UI,/api/users-roles/users*; /api/users-roles/roles*,/users,user_base.users; user_base.roles; user_base.user_roles,tests/NatureProtector.IntegrationTests/UserPlane; webUI/src/app/pages/UserRoleAdministrationPage.test.tsx; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py; webUI/e2e/live-role-journeys.spec.ts; scripts/acceptance/Invoke-NP-UiPerformanceCoverage.ps1,P0 CRUD/association lifecycle plus temporary live browser identities,P0,phase4-live-ui-harness-implemented-unexecuted
CAT-001,Áreas e contexto,Consultar área e contexto territorial,API/UI,GET /api/control/areas*,/demo; /dashboard; /context,control.areas; control.area_contexts,tests/NatureProtector.Backoffice.Api.Tests/ControlPlaneApiTests.cs; webUI/src/app/components/mainComponents/AreaMap.test.tsx,"Contratos, referências e comportamento anónimo",P0,covered-partial-live
CAT-002,Grelha e sensores,Consultar células e nós,API/UI,GET .../grid-cells; GET .../sensor-nodes; GET .../GeoJSON,/dashboard; /context,control.grid_cells; control.sensor_nodes; control.sensor_profiles; control.sensor_networks,tests/NatureProtector.Backoffice.Api.Tests/PostgresControlPlaneServiceTests.cs; tests/NatureProtector.Core.Tests/Areas; Sensors,"Paginação, FK lógicas e geometria parseável",P0,covered-not-live-deep
CAT-003,Cenários,Listar cenários por área,API/UI,GET /api/control/areas/{areaCode}/scenarios,/simulation,control.scenario_definitions; control.scenario_dataset_bindings,tests/NatureProtector.Backoffice.Api.Tests/ControlPlaneApiTests.cs; tests/NatureProtector.Simulator.Host.Tests/Services/ScenarioContextFactoryTests.cs,Códigos esperados e resolução consistente,P0,covered-partial-live
CFG-001,Configurações,Listar e ativar versão,API/UI,GET/POST /api/control/configurations*,/admin,control.configuration_versions,tests/NatureProtector.Backoffice.Api.Tests/ControlPlaneApiTests.cs; PostgresControlPlaneServiceTests.cs,"Uma ativa, ativação válida/inválida e RBAC",P1,covered-not-live
RUN-001,Iniciar simulação,Executar run bounded,API/UI,POST /api/control/runtime/runs,/simulation,control.simulation_runs; control.runtime_orchestrator_executions,tests/NatureProtector.Backoffice.Api.Tests/RuntimeOperationsServiceTests.cs; LocalProcessRuntimeRunOrchestratorTests.cs; webUI/src/app/pages/SimulationPage.test.tsx; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Run nominal e matriz de perfis,P0,p0-profile-matrix-implemented-unexecuted
RUN-002,Lifecycle e correlação,Acompanhar request/operation/run,API/UI,GET /api/control/runtime/operations*; GET .../runs/{id}/operation,/runs; /simulation,control.runtime_orchestrator_executions; control.simulation_runs,tests/NatureProtector.Backoffice.Api.Tests/RuntimeOperationReconciliationWorkerTests.cs; RuntimeOrchestrationContractsTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,"IDs coerentes, estados monotónicos e reconciliação",P0,p0-correlation-harness-implemented-unexecuted
RUN-003,Audit e timings,Inspecionar contagens e tempos,API/UI,GET .../runs/{id}/audit; GET .../timings; GET .../summary,/runs; /overview,control; pipeline; projection,tests/NatureProtector.Backoffice.Api.Tests/RuntimeRunTimingsServiceTests.cs; RuntimeSummaryServiceTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,"Convergência, data scope e percentis válidos",P0,p0-audit-harness-implemented-unexecuted
PIPE-001,Inbox e tentativas,Processar entrega durável,runtime,RabbitMQ consumer + runtime diagnostics,/pipeline,pipeline.event_inbox; pipeline.processing_attempts,tests/NatureProtector.Prevention.Host.Tests/Processing; tests/NatureProtector.IntegrationTests/Flow; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Todos os eventos terminam processed/rejected/quarantined,P0,p0-persisted-delivery-harness-implemented-unexecuted
PIPE-002,Falhas e quarentena,Tratar falhas negativas,runtime/API,P3 + diagnostics,/pipeline; /p3,pipeline.rejected_events; pipeline.quarantined_events; pipeline.processing_attempts,tests/NatureProtector.Prevention.Host.Tests/Processing; tests/NatureProtector.Simulator.Host.Tests/ControlledValidation,Executar e auditar os 10 casos P3,P0,unit-covered-live-not-unified
